tanggal,bulan,nama_kategori,pengeluaran/pemasukan,tipe,saldo_awal,jumlah,sisa_saldo,Status,label_kategori,status_label
2024-01-02 22:48:00,1,2,P2P Lending,1,35907526,3258934,32648592,0,Tabungan,Hemat
2024-01-03 00:36:00,1,1,Tiket Pesawat Liburan,1,32648592,791282,31857310,0,Keinginan,Hemat
2024-01-03 02:24:00,1,0,Asuransi Bpjs,1,31857310,54235,31803075,0,Kebutuhan,Hemat
2024-01-03 04:12:00,1,0,Sewa Kos,1,31803075,93928,31709147,0,Kebutuhan,Hemat
2024-01-03 06:00:00,1,1,Steak House,1,31709147,1421322,30287825,0,Keinginan,Hemat
2024-01-03 07:48:00,1,2,P2P Lending,1,30287825,1353704,28934121,0,Tabungan,Hemat
2024-01-03 09:36:00,1,1,Tiket Bioskop Xxi,1,28934121,1842536,27091585,0,Keinginan,Hemat
2024-01-03 11:24:00,1,2,Tabungan Beli Rumah,1,27091585,4085578,23006007,0,Tabungan,Hemat
2024-01-03 13:12:00,1,0,Gaji Utama,0,23006007,6506735,29512742,1,Kebutuhan,Normal
2024-01-03 15:00:00,1,2,Tabungan Dana Darurat,1,29512742,3827569,25685173,0,Tabungan,Hemat
2024-01-03 16:48:00,1,0,Ganti Oli,1,25685173,280467,25404706,0,Kebutuhan,Hemat
2024-01-03 18:36:00,1,0,Alat Mandi,1,25404706,365687,25039019,0,Kebutuhan,Hemat
2024-01-03 20:24:00,1,2,Tabungan Dana Darurat,1,25039019,2684796,22354223,1,Tabungan,Normal
2024-01-03 22:12:00,1,1,Staycation Hotel,1,22354223,1313788,21040435,1,Keinginan,Normal
2024-01-04 00:00:00,1,0,Bensin Pertamax,1,21040435,344242,20696193,1,Kebutuhan,Normal
2024-01-04 01:48:00,1,0,Air Galon,1,20696193,161829,20534364,1,Kebutuhan,Normal
2024-01-04 03:36:00,1,0,Belanja Sayur,1,20534364,35080,20499284,1,Kebutuhan,Normal
2024-01-04 05:24:00,1,0,Uang Saku Orang Tua,0,20499284,19787672,40286956,1,Kebutuhan,Normal
2024-01-04 07:12:00,1,0,Token Listrik,1,40286956,38929,40248027,0,Kebutuhan,Hemat
2024-01-04 09:00:00,1,0,Cashback E-Wallet,0,40248027,10157482,50405509,1,Kebutuhan,Normal
2024-01-04 10:48:00,1,0,Belanja Sembako,1,50405509,215751,50189758,0,Kebutuhan,Hemat
2024-01-04 12:36:00,1,0,Dividen Saham,0,50189758,12406884,62596642,1,Kebutuhan,Normal
2024-01-04 14:24:00,1,2,Tabungan Haji,1,62596642,3566979,59029663,0,Tabungan,Hemat
2024-01-04 16:12:00,1,1,Koleksi Hot Wheels,1,59029663,2345185,56684478,0,Keinginan,Hemat
2024-01-04 18:00:00,1,0,Parkir Harian,1,56684478,193478,56491000,0,Kebutuhan,Hemat
2024-01-04 19:48:00,1,0,Gas Lpg,1,56491000,191336,56299664,0,Kebutuhan,Hemat
2024-01-04 21:36:00,1,0,Parkir Harian,1,56299664,324327,55975337,0,Kebutuhan,Hemat
2024-01-04 23:24:00,1,0,Perbaikan Genteng,1,55975337,191445,55783892,0,Kebutuhan,Hemat
2024-01-05 01:12:00,1,2,Deposito Bank,1,55783892,215822,55568070,0,Tabungan,Hemat
2024-01-05 03:00:00,1,0,Obat/Vitamin,1,55568070,146081,55421989,0,Kebutuhan,Hemat
2024-01-05 04:48:00,1,0,Perbaikan Genteng,1,55421989,233927,55188062,0,Kebutuhan,Hemat
2024-01-05 06:36:00,1,0,Bonus Akhir Tahun,0,55188062,9260839,64448901,1,Kebutuhan,Normal
2024-01-05 08:24:00,1,1,Nasi Padang Premium,1,64448901,832807,63616094,0,Keinginan,Hemat
2024-01-05 10:12:00,1,0,Token Listrik,1,63616094,85469,63530625,0,Kebutuhan,Hemat
2024-01-05 12:00:00,1,0,Bensin Pertalite,1,63530625,31893,63498732,0,Kebutuhan,Hemat
2024-01-05 13:48:00,1,2,Tabungan Nikah,1,63498732,1543834,61954898,0,Tabungan,Hemat
2024-01-05 15:36:00,1,2,Reksa Dana Pasar Uang,1,61954898,224531,61730367,0,Tabungan,Hemat
2024-01-05 17:24:00,1,1,Sepatu Sneakers,1,61730367,2975170,58755197,0,Keinginan,Hemat
2024-01-05 19:12:00,1,1,Keanggotaan Gym,1,58755197,2437134,56318063,0,Keinginan,Hemat
2024-01-05 21:00:00,1,0,Cashback E-Wallet,0,56318063,3322362,59640425,1,Kebutuhan,Normal
2024-01-05 22:48:00,1,0,Tiket Krl,1,59640425,333379,59307046,0,Kebutuhan,Hemat
2024-01-06 00:36:00,1,0,Belanja Sayur,1,59307046,181824,59125222,0,Kebutuhan,Hemat
2024-01-06 02:24:00,1,0,Insentif Projek,0,59125222,7639855,66765077,1,Kebutuhan,Normal
2024-01-06 04:12:00,1,2,Crypto Bitcoin,1,66765077,1581584,65183493,0,Tabungan,Hemat
2024-01-06 06:00:00,1,0,Insentif Projek,0,65183493,2931136,68114629,1,Kebutuhan,Normal
2024-01-06 07:48:00,1,2,Tabungan Nikah,1,68114629,2660939,65453690,0,Tabungan,Hemat
2024-01-06 09:36:00,1,0,Parkir Harian,1,65453690,223676,65230014,0,Kebutuhan,Hemat
2024-01-06 11:24:00,1,2,Crypto Bitcoin,1,65230014,4433096,60796918,0,Tabungan,Hemat
2024-01-06 13:12:00,1,0,Bensin Pertalite,1,60796918,235054,60561864,0,Kebutuhan,Hemat
2024-01-06 15:00:00,1,1,Donasi Streamer,1,60561864,1700579,58861285,0,Keinginan,Hemat
2024-01-06 16:48:00,1,0,Token Listrik,1,58861285,337590,58523695,0,Kebutuhan,Hemat
2024-01-06 18:36:00,1,2,P2P Lending,1,58523695,3183256,55340439,0,Tabungan,Hemat
2024-01-06 20:24:00,1,0,Bensin Pertalite,1,55340439,268358,55072081,0,Kebutuhan,Hemat
2024-01-06 22:12:00,1,1,Nasi Padang Premium,1,55072081,787250,54284831,0,Keinginan,Hemat
2024-01-07 00:00:00,1,1,Shopping Mall,1,54284831,2241944,52042887,0,Keinginan,Hemat
2024-01-07 01:48:00,1,2,Reksa Dana Pasar Uang,1,52042887,1887885,50155002,0,Tabungan,Hemat
2024-01-07 03:36:00,1,0,Peralatan Dapur,1,50155002,322541,49832461,0,Kebutuhan,Hemat
2024-01-07 05:24:00,1,1,Sepatu Sneakers,1,49832461,1654389,48178072,1,Keinginan,Normal
2024-01-07 07:12:00,1,0,Alat Mandi,1,48178072,289428,47888644,1,Kebutuhan,Normal
2024-01-07 09:00:00,1,0,Alat Mandi,1,47888644,260541,47628103,1,Kebutuhan,Normal
2024-01-07 10:48:00,1,0,Iuran Sampah,1,47628103,331107,47296996,1,Kebutuhan,Normal
2024-01-07 12:36:00,1,0,Dividen Saham,0,47296996,3087251,50384247,1,Kebutuhan,Normal
2024-01-07 14:24:00,1,0,Pulsa Data,1,50384247,262116,50122131,1,Kebutuhan,Normal
2024-01-07 16:12:00,1,2,Tabungan Nikah,1,50122131,4711480,45410651,1,Tabungan,Normal
2024-01-07 18:00:00,1,0,Air Galon,1,45410651,180812,45229839,1,Kebutuhan,Normal
2024-01-07 19:48:00,1,0,Iuran Sampah,1,45229839,316297,44913542,1,Kebutuhan,Normal
2024-01-07 21:36:00,1,0,Indihome/Wifi,1,44913542,109253,44804289,1,Kebutuhan,Normal
2024-01-07 23:24:00,1,0,Gaji Utama,0,44804289,4162345,48966634,1,Kebutuhan,Normal
2024-01-08 01:12:00,1,1,Skin Hero,1,48966634,733309,48233325,1,Keinginan,Normal
2024-01-08 03:00:00,1,0,Belanja Sembako,1,48233325,280225,47953100,1,Kebutuhan,Normal
2024-01-08 04:48:00,1,0,Gaji Utama,0,47953100,8809833,56762933,1,Kebutuhan,Normal
2024-01-08 06:36:00,1,0,Ojek Online,1,56762933,87995,56674938,0,Kebutuhan,Hemat
2024-01-08 08:24:00,1,1,Action Figure,1,56674938,1184035,55490903,1,Keinginan,Normal
2024-01-08 10:12:00,1,0,Token Listrik,1,55490903,388005,55102898,1,Kebutuhan,Normal
2024-01-08 12:00:00,1,0,Bensin Pertamax,1,55102898,104755,54998143,1,Kebutuhan,Normal
2024-01-08 13:48:00,1,0,Perbaikan Genteng,1,54998143,199429,54798714,1,Kebutuhan,Normal
2024-01-08 15:36:00,1,0,Laundry,1,54798714,342051,54456663,1,Kebutuhan,Normal
2024-01-08 17:24:00,1,2,Tabungan Nikah,1,54456663,1009719,53446944,1,Tabungan,Normal
2024-01-08 19:12:00,1,2,Tabungan Haji,1,53446944,362184,53084760,1,Tabungan,Normal
2024-01-08 21:00:00,1,2,Crypto Bitcoin,1,53084760,4657916,48426844,1,Tabungan,Normal
2024-01-08 22:48:00,1,2,Emas Digital,1,48426844,1768977,46657867,1,Tabungan,Normal
2024-01-09 00:36:00,1,0,Cashback E-Wallet,0,46657867,4401073,51058940,1,Kebutuhan,Normal
2024-01-09 02:24:00,1,0,Belanja Sembako,1,51058940,215952,50842988,1,Kebutuhan,Normal
2024-01-09 04:12:00,1,1,Steam Wallet,1,50842988,930917,49912071,1,Keinginan,Normal
2024-01-09 06:00:00,1,0,Pulsa Data,1,49912071,285476,49626595,1,Kebutuhan,Normal
2024-01-09 07:48:00,1,0,Sewa Kos,1,49626595,389186,49237409,1,Kebutuhan,Normal
2024-01-09 09:36:00,1,2,Reksa Dana Pasar Uang,1,49237409,2777436,46459973,1,Tabungan,Normal
2024-01-09 11:24:00,1,2,Tabungan Nikah,1,46459973,2545588,43914385,1,Tabungan,Normal
2024-01-09 13:12:00,1,0,Bensin Pertamax,1,43914385,272775,43641610,1,Kebutuhan,Normal
2024-01-09 15:00:00,1,0,Bonus Akhir Tahun,0,43641610,3462966,47104576,1,Kebutuhan,Normal
2024-01-09 16:48:00,1,0,Bensin Pertalite,1,47104576,208817,46895759,1,Kebutuhan,Normal
2024-01-09 18:36:00,1,0,Skincare Dasar,1,46895759,373828,46521931,1,Kebutuhan,Normal
2024-01-09 20:24:00,1,0,Tiket Krl,1,46521931,377439,46144492,1,Kebutuhan,Normal
2024-01-09 22:12:00,1,0,Skincare Dasar,1,46144492,354391,45790101,1,Kebutuhan,Normal
2024-01-10 00:00:00,1,2,Tabungan Nikah,1,45790101,139594,45650507,1,Tabungan,Normal
2024-01-10 01:48:00,1,1,Netflix Bulanan,1,45650507,1097623,44552884,1,Keinginan,Normal
2024-01-10 03:36:00,1,0,Fee Freelance,0,44552884,16213858,60766742,1,Kebutuhan,Normal
2024-01-10 05:24:00,1,0,Hasil Jual Preloved,0,60766742,6412586,67179328,1,Kebutuhan,Normal
2024-01-10 07:12:00,1,0,Ganti Oli,1,67179328,348509,66830819,1,Kebutuhan,Normal
2024-01-10 09:00:00,1,1,Youtube Premium,1,66830819,2628542,64202277,1,Keinginan,Normal
2024-01-10 10:48:00,1,2,Deposito Bank,1,64202277,3264201,60938076,1,Tabungan,Normal
2024-01-10 12:36:00,1,0,Air Galon,1,60938076,304754,60633322,1,Kebutuhan,Normal
2024-01-10 14:24:00,1,0,Fee Freelance,0,60633322,12773219,73406541,1,Kebutuhan,Normal
2024-01-10 16:12:00,1,0,Tiket Krl,1,73406541,80060,73326481,1,Kebutuhan,Normal
2024-01-10 18:00:00,1,0,Ganti Oli,1,73326481,58826,73267655,1,Kebutuhan,Normal
2024-01-10 19:48:00,1,1,Kopi Janji Jiwa,1,73267655,655433,72612222,1,Keinginan,Normal
2024-01-10 21:36:00,1,0,Peralatan Dapur,1,72612222,349787,72262435,1,Kebutuhan,Normal
2024-01-10 23:24:00,1,0,Ganti Oli,1,72262435,380740,71881695,1,Kebutuhan,Normal
2024-01-11 01:12:00,1,1,Buku Novel,1,71881695,1929843,69951852,1,Keinginan,Normal
2024-01-11 03:00:00,1,0,Tiket Krl,1,69951852,6747,69945105,1,Kebutuhan,Normal
2024-01-11 04:48:00,1,2,Tabungan Dana Darurat,1,69945105,1368843,68576262,1,Tabungan,Normal
2024-01-11 06:36:00,1,0,Ojek Online,1,68576262,57893,68518369,1,Kebutuhan,Normal
2024-01-11 08:24:00,1,1,Tiket Konser,1,68518369,1943402,66574967,1,Keinginan,Normal
2024-01-11 10:12:00,1,0,Token Listrik,1,66574967,215146,66359821,1,Kebutuhan,Normal
2024-01-11 12:00:00,1,1,Steak House,1,66359821,2742785,63617036,1,Keinginan,Normal
2024-01-11 13:48:00,1,2,Emas Digital,1,63617036,1351877,62265159,1,Tabungan,Normal
2024-01-11 15:36:00,1,1,Spotify Premium,1,62265159,1850059,60415100,1,Keinginan,Normal
2024-01-11 17:24:00,1,0,Makan Warteg,1,60415100,5951,60409149,1,Kebutuhan,Normal
2024-01-11 19:12:00,1,2,Tabungan Nikah,1,60409149,4830857,55578292,1,Tabungan,Normal
2024-01-11 21:00:00,1,0,Obat/Vitamin,1,55578292,188179,55390113,1,Kebutuhan,Normal
2024-01-11 22:48:00,1,0,Parkir Harian,1,55390113,117453,55272660,1,Kebutuhan,Normal
2024-01-12 00:36:00,1,0,Perbaikan Genteng,1,55272660,155454,55117206,1,Kebutuhan,Normal
2024-01-12 02:24:00,1,0,Service Motor,1,55117206,137581,54979625,1,Kebutuhan,Normal
2024-01-12 04:12:00,1,0,Insentif Projek,0,54979625,4458940,59438565,1,Kebutuhan,Normal
2024-01-12 06:00:00,1,0,Asuransi Bpjs,1,59438565,91590,59346975,1,Kebutuhan,Normal
2024-01-12 07:48:00,1,1,Nasi Padang Premium,1,59346975,1498682,57848293,1,Keinginan,Normal
2024-01-12 09:36:00,1,1,Sepatu Sneakers,1,57848293,1431136,56417157,1,Keinginan,Normal
2024-01-12 11:24:00,1,0,Ganti Oli,1,56417157,200429,56216728,1,Kebutuhan,Normal
2024-01-12 13:12:00,1,0,Bonus Akhir Tahun,0,56216728,8541350,64758078,1,Kebutuhan,Normal
2024-01-12 15:00:00,1,0,Makan Warteg,1,64758078,38074,64720004,1,Kebutuhan,Normal
2024-01-12 16:48:00,1,2,P2P Lending,1,64720004,4171458,60548546,1,Tabungan,Normal
2024-01-12 18:36:00,1,2,Tabungan Nikah,1,60548546,541024,60007522,1,Tabungan,Normal
2024-01-12 20:24:00,1,1,Keanggotaan Gym,1,60007522,497798,59509724,1,Keinginan,Normal
2024-01-12 22:12:00,1,0,Asuransi Bpjs,1,59509724,175184,59334540,1,Kebutuhan,Normal
2024-01-13 00:00:00,1,1,Koleksi Hot Wheels,1,59334540,2234567,57099973,1,Keinginan,Normal
2024-01-13 01:48:00,1,1,Makan Cantik Cafe,1,57099973,2659772,54440201,1,Keinginan,Normal
2024-01-13 03:36:00,1,0,Fee Freelance,0,54440201,14264348,68704549,1,Kebutuhan,Normal
2024-01-13 05:24:00,1,1,Tiket Bioskop Xxi,1,68704549,2593526,66111023,1,Keinginan,Normal
2024-01-13 07:12:00,1,1,Mixue/Boba,1,66111023,1385791,64725232,1,Keinginan,Normal
2024-01-13 09:00:00,1,2,Tabungan Haji,1,64725232,229525,64495707,1,Tabungan,Normal
2024-01-13 10:48:00,1,0,Tiket Krl,1,64495707,114765,64380942,1,Kebutuhan,Normal
2024-01-13 12:36:00,1,1,Netflix Bulanan,1,64380942,85639,64295303,1,Keinginan,Normal
2024-01-13 14:24:00,1,0,Asuransi Bpjs,1,64295303,203377,64091926,1,Kebutuhan,Normal
2024-01-13 16:12:00,1,1,Spotify Premium,1,64091926,2164039,61927887,1,Keinginan,Normal
2024-01-13 18:00:00,1,0,Cashback E-Wallet,0,61927887,18933308,80861195,1,Kebutuhan,Normal
2024-01-13 19:48:00,1,0,Bensin Pertamax,1,80861195,20976,80840219,1,Kebutuhan,Normal
2024-01-13 21:36:00,1,2,Deposito Bank,1,80840219,4349178,76491041,1,Tabungan,Normal
2024-01-13 23:24:00,1,2,Crypto Bitcoin,1,76491041,4531059,71959982,1,Tabungan,Normal
2024-01-14 01:12:00,1,0,Bensin Pertamax,1,71959982,294481,71665501,1,Kebutuhan,Normal
2024-01-14 03:00:00,1,1,Tiket Konser,1,71665501,984468,70681033,1,Keinginan,Normal
2024-01-14 04:48:00,1,1,Keanggotaan Gym,1,70681033,588190,70092843,1,Keinginan,Normal
2024-01-14 06:36:00,1,0,Ganti Oli,1,70092843,115198,69977645,1,Kebutuhan,Normal
2024-01-14 08:24:00,1,2,P2P Lending,1,69977645,2323025,67654620,1,Tabungan,Normal
2024-01-14 10:12:00,1,0,Bensin Pertamax,1,67654620,53103,67601517,1,Kebutuhan,Normal
2024-01-14 12:00:00,1,2,Emas Digital,1,67601517,3300101,64301416,1,Tabungan,Normal
2024-01-14 13:48:00,1,0,Hasil Jual Preloved,0,64301416,19728880,84030296,1,Kebutuhan,Normal
2024-01-14 15:36:00,1,1,Buku Novel,1,84030296,820395,83209901,1,Keinginan,Normal
2024-01-14 17:24:00,1,0,Dividen Saham,0,83209901,5106156,88316057,1,Kebutuhan,Normal
2024-01-14 19:12:00,1,2,Tabungan Haji,1,88316057,3518934,84797123,1,Tabungan,Normal
2024-01-14 21:00:00,1,1,Tiket Konser,1,84797123,941006,83856117,1,Keinginan,Normal
2024-01-14 22:48:00,1,0,Alat Mandi,1,83856117,22414,83833703,1,Kebutuhan,Normal
2024-01-15 00:36:00,1,0,Uang Saku Orang Tua,0,83833703,8539496,92373199,1,Kebutuhan,Normal
2024-01-15 02:24:00,1,0,Makan Warteg,1,92373199,382456,91990743,1,Kebutuhan,Normal
2024-01-15 04:12:00,1,2,Deposito Bank,1,91990743,4104836,87885907,1,Tabungan,Normal
2024-01-15 06:00:00,1,0,Pulsa Data,1,87885907,392008,87493899,1,Kebutuhan,Normal
2024-01-15 07:48:00,1,0,Air Galon,1,87493899,77235,87416664,1,Kebutuhan,Normal
2024-01-15 09:36:00,1,0,Iuran Sampah,1,87416664,131139,87285525,1,Kebutuhan,Normal
2024-01-15 11:24:00,1,0,Parkir Harian,1,87285525,358155,86927370,1,Kebutuhan,Normal
2024-01-15 13:12:00,1,2,Tabungan Beli Rumah,1,86927370,2031864,84895506,1,Tabungan,Normal
2024-01-15 15:00:00,1,1,Makan Cantik Cafe,1,84895506,2051109,82844397,1,Keinginan,Normal
2024-01-15 16:48:00,1,2,Crypto Bitcoin,1,82844397,611604,82232793,1,Tabungan,Normal
2024-01-15 18:36:00,1,0,Fee Freelance,0,82232793,688571,82921364,1,Kebutuhan,Normal
2024-01-15 20:24:00,1,2,Deposito Bank,1,82921364,2904433,80016931,1,Tabungan,Normal
2024-01-15 22:12:00,1,0,Air Galon,1,80016931,69166,79947765,1,Kebutuhan,Normal
2024-01-16 00:00:00,1,1,Tiket Konser,1,79947765,2049158,77898607,1,Keinginan,Normal
2024-01-16 01:48:00,1,1,Buku Novel,1,77898607,1187498,76711109,1,Keinginan,Normal
2024-01-16 03:36:00,1,0,Obat/Vitamin,1,76711109,83395,76627714,1,Kebutuhan,Normal
2024-01-16 05:24:00,1,1,Keanggotaan Gym,1,76627714,931066,75696648,1,Keinginan,Normal
2024-01-16 07:12:00,1,1,Netflix Bulanan,1,75696648,1767613,73929035,1,Keinginan,Normal
2024-01-16 09:00:00,1,1,Makan Cantik Cafe,1,73929035,1608792,72320243,1,Keinginan,Normal
2024-01-16 10:48:00,1,0,Cashback E-Wallet,0,72320243,7614931,79935174,1,Kebutuhan,Normal
2024-01-16 12:36:00,1,0,Ganti Oli,1,79935174,157653,79777521,1,Kebutuhan,Normal
2024-01-16 14:24:00,1,2,Emas Digital,1,79777521,3413475,76364046,1,Tabungan,Normal
2024-01-16 16:12:00,1,0,Bonus Akhir Tahun,0,76364046,15507842,91871888,1,Kebutuhan,Normal
2024-01-16 18:00:00,1,0,Iuran Sampah,1,91871888,60306,91811582,1,Kebutuhan,Normal
2024-01-16 19:48:00,1,0,Sewa Kos,1,91811582,140363,91671219,1,Kebutuhan,Normal
2024-01-16 21:36:00,1,0,Belanja Sayur,1,91671219,278281,91392938,1,Kebutuhan,Normal
2024-01-16 23:24:00,1,0,Bonus Akhir Tahun,0,91392938,8093086,99486024,1,Kebutuhan,Normal
2024-01-17 01:12:00,1,0,Ojek Online,1,99486024,399663,99086361,1,Kebutuhan,Normal
2024-01-17 03:00:00,1,0,Bensin Pertamax,1,99086361,349665,98736696,1,Kebutuhan,Normal
2024-01-17 04:48:00,1,0,Parkir Harian,1,98736696,368213,98368483,1,Kebutuhan,Normal
2024-01-17 06:36:00,1,2,Tabungan Beli Rumah,1,98368483,4304875,94063608,1,Tabungan,Normal
2024-01-17 08:24:00,1,0,Bonus Akhir Tahun,0,94063608,7142806,101206414,1,Kebutuhan,Normal
2024-01-17 10:12:00,1,1,Action Figure,1,101206414,1165781,100040633,1,Keinginan,Normal
2024-01-17 12:00:00,1,0,Belanja Sayur,1,100040633,116785,99923848,1,Kebutuhan,Normal
2024-01-17 13:48:00,1,2,Tabungan Dana Darurat,1,99923848,1647969,98275879,1,Tabungan,Normal
2024-01-17 15:36:00,1,0,Token Listrik,1,98275879,299097,97976782,1,Kebutuhan,Normal
2024-01-17 17:24:00,1,1,Koleksi Hot Wheels,1,97976782,1713569,96263213,1,Keinginan,Normal
2024-01-17 19:12:00,1,0,Fee Freelance,0,96263213,9231523,105494736,1,Kebutuhan,Normal
2024-01-17 21:00:00,1,2,P2P Lending,1,105494736,2374150,103120586,1,Tabungan,Normal
2024-01-17 22:48:00,1,2,Tabungan Nikah,1,103120586,452305,102668281,1,Tabungan,Normal
2024-01-18 00:36:00,1,2,Saham Bluechip,1,102668281,2858713,99809568,1,Tabungan,Normal
2024-01-18 02:24:00,1,2,Tabungan Dana Darurat,1,99809568,4545739,95263829,1,Tabungan,Normal
2024-01-18 04:12:00,1,0,Makan Warteg,1,95263829,151409,95112420,1,Kebutuhan,Normal
2024-01-18 06:00:00,1,1,Buku Novel,1,95112420,1325406,93787014,1,Keinginan,Normal
2024-01-18 07:48:00,1,0,Bensin Pertalite,1,93787014,235593,93551421,1,Kebutuhan,Normal
2024-01-18 09:36:00,1,0,Service Motor,1,93551421,63064,93488357,1,Kebutuhan,Normal
2024-01-18 11:24:00,1,1,Peralatan Camping,1,93488357,297977,93190380,1,Keinginan,Normal
2024-01-18 13:12:00,1,0,Bensin Pertalite,1,93190380,360044,92830336,1,Kebutuhan,Normal
2024-01-18 15:00:00,1,1,Mixue/Boba,1,92830336,2027866,90802470,1,Keinginan,Normal
2024-01-18 16:48:00,1,1,Netflix Bulanan,1,90802470,2274765,88527705,1,Keinginan,Normal
2024-01-18 18:36:00,1,0,Tiket Krl,1,88527705,268560,88259145,1,Kebutuhan,Normal
2024-01-18 20:24:00,1,0,Fee Freelance,0,88259145,10190875,98450020,1,Kebutuhan,Normal
2024-01-18 22:12:00,1,0,Gaji Utama,0,98450020,13501226,111951246,1,Kebutuhan,Normal
2024-01-19 00:00:00,1,1,Action Figure,1,111951246,711138,111240108,1,Keinginan,Normal
2024-01-19 01:48:00,1,0,Obat/Vitamin,1,111240108,137047,111103061,1,Kebutuhan,Normal
2024-01-19 03:36:00,1,1,Youtube Premium,1,111103061,185314,110917747,1,Keinginan,Normal
2024-01-19 05:24:00,1,0,Token Listrik,1,110917747,153763,110763984,1,Kebutuhan,Normal
2024-01-19 07:12:00,1,0,Peralatan Dapur,1,110763984,215372,110548612,1,Kebutuhan,Normal
2024-01-19 09:00:00,1,2,Emas Digital,1,110548612,1596130,108952482,1,Tabungan,Normal
2024-01-19 10:48:00,1,2,Tabungan Beli Rumah,1,108952482,3943582,105008900,1,Tabungan,Normal
2024-01-19 12:36:00,1,0,Hasil Jual Preloved,0,105008900,8285063,113293963,1,Kebutuhan,Normal
2024-01-19 14:24:00,1,0,Hasil Jual Preloved,0,113293963,8677142,121971105,1,Kebutuhan,Normal
2024-01-19 16:12:00,1,0,Hasil Jual Preloved,0,121971105,11253592,133224697,1,Kebutuhan,Normal
2024-01-19 18:00:00,1,0,Iuran Sampah,1,133224697,323230,132901467,1,Kebutuhan,Normal
2024-01-19 19:48:00,1,0,Insentif Projek,0,132901467,3306930,136208397,1,Kebutuhan,Normal
2024-01-19 21:36:00,1,0,Service Motor,1,136208397,38224,136170173,1,Kebutuhan,Normal
2024-01-19 23:24:00,1,1,Donasi Streamer,1,136170173,1947936,134222237,1,Keinginan,Normal
2024-01-20 01:12:00,1,0,Air Galon,1,134222237,207828,134014409,1,Kebutuhan,Normal
2024-01-20 03:00:00,1,2,Reksa Dana Pasar Uang,1,134014409,4556465,129457944,1,Tabungan,Normal
2024-01-20 04:48:00,1,0,Bensin Pertamax,1,129457944,63726,129394218,1,Kebutuhan,Normal
2024-01-20 06:36:00,1,1,Thrift Shopping,1,129394218,2179598,127214620,1,Keinginan,Normal
2024-01-20 08:24:00,1,0,Peralatan Dapur,1,127214620,42780,127171840,1,Kebutuhan,Normal
2024-01-20 10:12:00,1,1,Steak House,1,127171840,1949163,125222677,1,Keinginan,Normal
